chr	start_promoter	end_promoter	strand	gene_name
chr1	12038238	12042238	+	MFN2
chr1	12077523	12081523	+	MIIP
chr1	12121434	12125434	+	TNFRSF8
chr1	12225060	12229060	+	TNFRSF1B
chr1	12288124	12292124	+	VPS13D
chr1	12675737	12679737	-	DHRS3
chr1	12702566	12706566	+	AADACL4
chr1	12774118	12778118	+	AADACL3
chr1	12804163	12808163	+	C1orf158
chr1	12832984	12836984	+	PRAMEF12
chr1	12849546	12853546	+	PRAMEF1
chr1	12889264	12893264	-	PRAMEF11
chr1	12906578	12910578	-	HNRNPCL1
chr1	12914941	12918941	+	PRAMEF2
chr1	12944025	12948025	-	PRAMEF4
chr1	12956101	12960101	-	PRAMEF10
chr1	12974450	12978450	+	PRAMEF7
chr1	13115751	13119751	-	PRAMEF6
chr1	13033543	13037543	+	PRAMEF22
chr1	13050998	13054998	-	WI2-3308P17.2
chr1	13217581	13221581	-	PRAMEF26
chr1	13329692	13333692	-	PRAMEF3
chr1	13357819	13361819	+	PRAMEF5
chr1	13388765	13392765	-	PRAMEF8
chr1	13419176	13423176	+	PRAMEF9
chr1	13450656	13454656	-	PRAMEF13
chr1	13475522	13479522	-	PRAMEF18
chr1	13493254	13497254	+	PRAMEF16
chr1	13514066	13518066	+	PRAMEF21
chr1	13639973	13643973	+	PRAMEF15
chr1	13671511	13675511	-	PRAMEF14
chr1	13696405	13700405	-	PRAMEF19
chr1	13714092	13718092	+	PRAMEF17
chr1	13734907	13738907	+	PRAMEF20
chr1	13838543	13842543	-	LRRC38
chr1	13907960	13911960	+	PDPN
chr1	14024693	14028693	+	PRDM2
chr1	14923200	14927200	+	KAZN
chr1	15477028	15481028	+	TMEM51
chr1	15495813	15499813	-	C1orf195
chr1	15571768	15575768	+	FHAD1
chr1	15734391	15738391	+	EFHD2
chr1	15762935	15766935	+	CTRC
chr1	15781223	15785223	+	CELA2A
chr1	15790404	15794404	+	CELA2B
chr1	15851029	15855029	-	CASP9
chr1	15851308	15855308	+	DNAJC16
chr1	15909605	15913605	-	AGMAT
chr1	15941995	15945995	+	DDI2
chr1	15984364	15988364	+	RSC1A1
chr1	16008827	16012827	+	PLEKHM2
chr1	16060900	16064900	+	SLC25A34
chr1	16066917	16070917	+	TMEM82
chr1	16081102	16085102	+	FBLIM1
chr1	16172359	16176359	+	SPEN
chr1	16300627	16304627	-	ZBTB17
chr1	16328731	16332731	+	C1orf64
chr1	16344089	16348089	-	HSPB7
chr1	16343370	16347370	+	CLCNKA
chr1	16368272	16372272	+	CLCNKB
chr1	16398127	16402127	-	FAM131C
chr1	16480582	16484582	-	EPHA2
chr1	16537104	16541104	-	ARHGEF19
chr1	16554038	16558038	-	C1orf134
chr1	16561657	16565657	-	RSG1
chr1	16676949	16680949	-	FBXO42
chr1	16677070	16681070	+	SZRD1
chr1	16761919	16765919	-	SPATA21
chr1	16765167	16769167	+	NECAP2
chr1	16863561	16867561	+	AL355149.2
chr1	16938057	16942057	-	NBPF1
chr1	16997498	17001498	+	AL137798.1
chr1	17058956	17062956	-	AL021920.2
chr1	17064768	17068768	+	CROCC
chr1	17305330	17309330	-	MFAP2
chr1	17336423	17340423	-	ATP13A2
chr1	17378665	17382665	-	SDHB
chr1	17443948	17447948	-	PADI2
chr1	17529621	17533621	+	PADI1
chr1	17573593	17577593	+	PADI3
chr1	17632690	17636690	+	PADI4
chr1	17674070	17678070	-	AC004824.2
chr1	17764220	17768220	-	RCC2
chr1	17864330	17868330	+	ARHGEF10L
chr1	18079808	18083808	+	ACTL8
chr1	18432240	18436240	+	IGSF21
chr1	18805424	18809424	+	KLHDC7A
chr1	18955500	18959500	+	PAX7
chr1	19184176	19188176	-	TAS1R2
chr1	19245615	19249615	-	RP13-279N23.2
chr1	19227275	19231275	-	ALDH4A1
chr1	19281180	19285180	-	IFFO2
chr1	19534770	19538770	-	UBR4
chr1	19576046	19580046	-	EMC1
chr1	19576033	19580033	+	MRTO4
chr1	19613744	19617744	-	AKR7A3
chr1	19636640	19640640	-	AKR7A2
chr1	19636820	19640820	+	PQLC2
chr1	19810066	19814066	-	CAPZB
chr1	19921473	19925473	+	MINOS1-NBL1
chr1	19921477	19925477	+	MINOS1
chr1	19965048	19969048	+	NBL1
chr1	19989780	19993780	+	HTR6
chr1	20124438	20128438	-	TMCO4
chr1	20139771	20143771	-	RNF186
chr1	20207006	20211006	+	OTUD3
chr1	20248110	20252110	-	PLA2G2E
chr1	20304932	20308932	-	PLA2G2A
chr1	20352672	20356672	+	PLA2G5
chr1	20444050	20448050	-	PLA2G2D
chr1	20463819	20467819	+	PLA2G2F
chr1	20501917	20505917	-	PLA2G2C
chr1	20510578	20514578	+	UBXN10
chr1	20615412	20619412	+	VWA5B1
chr1	20810713	20814713	-	CAMK2N1
chr1	20832654	20836654	-	MUL1
chr1	20876932	20880932	+	FAM43B
chr1	20913441	20917441	+	CDA
chr1	20957948	20961948	+	PINK1
chr1	20986000	20990000	-	DDOST
chr1	21042510	21046510	-	KIF17
chr1	21057330	21061330	-	SH2D5
chr1	21111816	21115816	-	HP1BP3
chr1	21501377	21505377	-	EIF4G3
chr1	21669997	21673997	-	ECE1
chr1	21764621	21768621	+	NBPF3
chr1	21833858	21837858	+	ALPL
chr1	21993801	21997801	-	RAP1GAP
chr1	22108099	22112099	-	USP48
chr1	22136758	22140758	+	LDLRAD2
chr1	22261790	22265790	-	HSPG2
chr1	22301514	22305514	+	CELA3B
chr1	22326149	22330149	+	CELA3A
chr1	22377120	22381120	+	CDC42
chr1	22468462	22472462	-	WNT4
chr1	22776344	22780344	+	ZBTB40
chr1	22888057	22892057	+	EPHA8
chr1	22960999	22964999	+	C1QA
chr1	22968123	22972123	+	C1QC
chr1	22977255	22981255	+	C1QB
chr1	23035332	23039332	+	EPHB2
chr1	23289831	23293831	-	LACTBL1
chr1	23340343	23344343	-	C1orf234
chr1	23343941	23347941	+	KDM1A
chr1	23502301	23506301	-	LUZP1
chr1	23519222	23523222	-	HTR1D
chr1	23668829	23672829	-	HNRNPR
chr1	23693935	23697935	-	ZNF436
chr1	23693490	23697490	+	C1orf213
chr1	23749233	23753233	-	TCEA3
chr1	23809061	23813061	-	ASAP3
chr1	23855712	23859712	-	E2F2
chr1	23884285	23888285	-	ID3
chr1	23905985	23909985	+	MDS2
chr1	24016269	24020269	+	RPL11
chr1	24067645	24071645	+	TCEB3
chr1	24102895	24106895	+	PITHD1
chr1	24115460	24119460	+	LYPLA2
chr1	24125271	24129271	-	GALE
chr1	24163110	24167110	-	HMGCL
chr1	24192784	24196784	-	FUCA1
chr1	24283549	24287549	-	CNR2
chr1	24283599	24287599	+	PNRC2
chr1	24305417	24309417	-	SRSF10
chr1	24436665	24440665	-	MYOM3
chr1	24467611	24471611	-	IL22RA1
chr1	24512449	24516449	-	IFNLR1
chr1	24643812	24647812	+	GRHL3
chr1	24741424	24745424	-	STPG1
chr1	24740284	24744284	+	NIPAL3
chr1	24827387	24831387	+	RCAN3
chr1	24880602	24884602	+	NCMAP
chr1	24956207	24960207	+	SRRM1
chr1	25069848	25073848	+	CLIC4
chr1	25289612	25293612	-	RUNX3
chr1	25556993	25560993	-	SYF2
chr1	25662704	25666704	-	C1orf63
chr1	25596884	25600884	+	RHD
chr1	25662408	25666408	+	TMEM50A
chr1	25754683	25758683	-	RHCE
chr1	25755388	25759388	+	TMEM57
chr1	25868071	25872071	+	LDLRAP1
chr1	25941959	25945959	+	MAN1C1
chr1	26124667	26128667	+	SEPN1
chr1	26135961	26139961	+	RP1-317E23.6
chr1	26143131	26147131	+	MTFR1L
chr1	26145288	26149288	-	AL020996.1
chr1	26183903	26187903	-	AUNIP
chr1	26195744	26199744	-	PAQR7
chr1	26231482	26235482	-	STMN1
chr1	26322648	26326648	-	PAFAH2
chr1	26344375	26348375	+	EXTL1
chr1	26370624	26374624	-	SLC30A2
chr1	26392927	26396927	-	TRIM63
chr1	26435664	26439664	+	PDIK1L
chr1	26483511	26487511	+	FAM110D
chr1	26494362	26498362	+	ZNF593
chr1	26501894	26505894	+	CNKSR1
chr1	26515052	26519052	+	CATSPER4
chr1	26558691	26562691	+	CEP85
chr1	26603667	26607667	+	SH3BGRL3
chr1	26642854	26646854	-	UBXN11
chr1	26642448	26646448	+	CD52
chr1	26678621	26682621	-	AIM1L
chr1	26699013	26703013	-	ZNF683
chr1	26735269	26739269	+	LIN28A
chr1	26756773	26760773	+	DHDDS
chr1	26796941	26800941	+	HMGN2
chr1	26854252	26858252	+	RPS6KA1
chr1	27020524	27024524	+	ARID1A
chr1	27111963	27115963	+	PIGV
chr1	27151201	27155201	+	ZDHHC18
chr1	27187633	27191633	+	SFN
chr1	27214788	27218788	-	GPN2
chr1	27224957	27228957	-	GPATCH3
chr1	27224729	27228729	+	NUDC
chr1	27238457	27242457	-	NR0B2
chr1	27284897	27288897	-	C1orf172
chr1	27318198	27322198	+	TRNP1
chr1	27337327	27341327	-	FAM46B
chr1	27491472	27495472	-	SLC9A1
chr1	27559007	27563007	+	WDTC1
chr1	27646651	27650651	+	TMEM222
chr1	27666513	27670513	+	SYTL1
chr1	27691383	27695383	-	MAP3K6
chr1	27699315	27703315	-	FCN3
chr1	27707870	27711870	-	CD164L2
chr1	27717148	27721148	+	GPR3
chr1	27814669	27818669	-	WASF2
chr1	27928942	27932942	-	AHDC1
chr1	27959788	27963788	-	FGR
chr1	27996729	28000729	-	IFI6
chr1	28050490	28054490	+	FAM76A
chr1	28097694	28101694	+	STX12
chr1	28155289	28159289	+	PPP1R8
chr1	28175255	28179255	-	AL109927.1
chr1	28197055	28201055	+	THEMIS2
chr1	28239257	28243257	-	RPA2
chr1	28259504	28263504	+	SMPDL3B
chr1	28283973	28287973	+	XKR8
chr1	28413207	28417207	-	EYA3
chr1	28518447	28522447	-	PTAFR
chr1	28557536	28561536	-	DNAJC8
chr1	28525152	28529152	-	AL353354.1
chr1	28525070	28529070	+	AL353354.2
chr1	28560620	28564620	+	ATPIF1
chr1	28584038	28588038	+	SESN2
chr1	28653513	28657513	+	MED18
chr1	28694114	28698114	+	PHACTR4
chr1	28830455	28834455	+	RCC1
chr1	28877597	28881597	+	TRNAU1AP
chr1	28967597	28971597	-	TAF12
chr1	28916712	28920712	+	RAB42
chr1	28993244	28997244	+	GMEB1
chr1	29061133	29065133	+	YTHDF2
chr1	29136654	29140654	+	OPRD1
chr1	29211603	29215603	+	EPB41
chr1	29448447	29452447	-	TMEM200B
chr1	29506499	29510499	-	SRSF4
chr1	29555454	29559454	-	MECR
chr1	29561028	29565028	+	PTPRU
chr1	31194434	31198434	-	MATN1
chr1	31228667	31232667	-	LAPTM5
chr1	31379608	31383608	-	SDC3
chr1	31536838	31540838	-	PUM1
chr1	31710401	31714401	-	NKAIN1
chr1	31767662	31771662	-	SNRNP40
chr1	31767842	31771842	+	ZCCHC17
chr1	31847697	31851697	-	FABP3
chr1	31880412	31884412	+	SERINC2
chr1	31900614	31904614	-	AC114494.1
chr1	32040116	32044116	+	TINAGL1
chr1	32081287	32085287	+	HCRTR1
chr1	32108497	32112497	-	PEF1
chr1	32167920	32171920	-	COL16A1
chr1	32228494	32232494	-	BAI2
chr1	32279652	32283652	-	SPOCD1
chr1	32408457	32412457	-	PTP4A2
chr1	32377174	32381174	+	AL136115.1
chr1	32477430	32481430	+	KHDRBS1
chr1	32535632	32539632	+	TMEM39B
chr1	32571639	32575639	+	KPNA6
chr1	32643287	32647287	+	TXLNA
chr1	32663987	32667987	+	CCDC28B
chr1	32669236	32673236	+	IQCC
chr1	32672695	32676695	+	DCDC2B
chr1	32685972	32689972	-	TMEM234
chr1	32685529	32689529	+	EIF3I
chr1	32710834	32714834	+	FAM167B
chr1	32714840	32718840	+	LCK
chr1	32755687	32759687	+	HDAC1
chr1	32799980	32803980	-	MARCKSL1
chr1	32815122	32819122	+	TSSK3
chr1	32827879	32831879	-	FAM229A
chr1	32858332	32862332	-	BSDC1
chr1	32928658	32932658	+	RP1-27O5.3
chr1	32928670	32932670	+	ZBTB8B
chr1	33003028	33007028	+	ZBTB8A
chr1	33114504	33118504	-	ZBTB8OS
chr1	33114743	33118743	+	RBBP4
chr1	33167197	33171197	-	SYNC
chr1	33205486	33209486	+	KIAA1522
chr1	33281754	33285754	-	YARS
chr1	33280368	33284368	+	S100PBP
chr1	33336083	33340083	-	FNDC5
chr1	33349595	33353595	+	HPCA
chr1	33365039	33369039	-	TMEM54
chr1	33428286	33432286	-	RNF19B
chr1	33437268	33441268	+	FKSG48
chr1	33544597	33548597	-	AK2
chr1	33544705	33548705	+	ADC
chr1	33645660	33649660	-	TRIM62
chr1	33720146	33724146	+	ZNF362
chr1	33784699	33788699	-	A3GALT2
chr1	33894653	33898653	-	PHC2
chr1	33936246	33940246	+	ZSCAN20
chr1	34629443	34633443	-	CSMD2
chr1	34324076	34328076	+	HMGB4
chr1	34630484	34634484	+	C1orf94
chr1	35323417	35327417	-	SMIM12
chr1	35218648	35222648	+	GJB5
chr1	35223342	35227342	+	GJB4
chr1	35244790	35248790	+	GJB3
chr1	35256599	35260599	+	GJA4
chr1	35393186	35397186	-	DLGAP3
chr1	35495342	35499342	-	ZMYM6
chr1	35448954	35452954	-	ZMYM6NB
chr1	35495569	35499569	-	ZMYM6
chr1	35523387	35527387	+	ZMYM1
chr1	35656749	35660749	-	SFPQ
chr1	35732568	35736568	+	ZMYM4
chr1	36021551	36025551	-	KIAA0319L
chr1	36021074	36025074	+	NCDN
chr1	36036971	36040971	+	TFAP2E
chr1	36105445	36109445	-	PSMB2
chr1	36183073	36187073	-	C1orf216
chr1	36233568	36237568	-	CLSPN
chr1	36271773	36275773	+	AGO4
chr1	36333409	36337409	+	AGO1
chr1	36394319	36398319	+	AGO3
chr1	36547676	36551676	+	TEKT2
chr1	36552476	36556476	+	ADPRHL2
chr1	36588821	36592821	-	COL8A2
chr1	36613098	36617098	-	TRAPPC3
chr1	36619180	36623180	+	MAP7D1
chr1	36688017	36692017	+	THRAP3
chr1	36769988	36773988	+	SH3D21
chr1	36787755	36791755	-	EVA1B
chr1	36787335	36791335	+	RP11-268J15.5
chr1	36849497	36853497	-	STK40
chr1	36861493	36865493	-	LSM10
chr1	36914086	36918086	-	OSCP1
chr1	36928038	36932038	-	MRPS15
chr1	36946879	36950879	-	CSF3R
chr1	37497730	37501730	-	GRIK3
chr1	37938153	37942153	+	ZC3H12A
chr1	37978375	37982375	-	MEAF6
chr1	38017903	38021903	-	SNIP1
chr1	38020520	38024520	+	DNALI1
chr1	38059536	38063536	-	GNL2
chr1	38098595	38102595	-	RSPO1
chr1	38155914	38159914	-	C1orf109
chr1	38156090	38160090	+	CDCA8
chr1	38228805	38232805	-	EPHA10
chr1	38257474	38261474	+	MANEAL
chr1	38271857	38275857	-	YRDC
chr1	38270651	38274651	+	C1orf122
chr1	38323292	38327292	-	MTF1
chr1	38291886	38295886	-	AL929472.1
chr1	38410729	38414729	-	INPP5B
chr1	38454593	38458593	-	SF3A3
chr1	38469278	38473278	-	FHL3
chr1	38472930	38476930	+	UTP11L
chr1	38510450	38514450	-	POU3F1
chr1	39323495	39327495	-	RRAGC
chr1	39345289	39349289	-	MYCBP
chr1	39345289	39349289	-	GJA9
chr1	39405471	39409471	-	RHBDL2
chr1	39454895	39458895	+	AKIRIN1
chr1	39489990	39493990	+	NDUFS5
chr1	39544988	39548988	+	MACF1
chr1	39874151	39878151	+	KIAA0754
chr1	39955318	39959318	+	BMP8A
chr1	40040462	40044462	-	PABPC4
chr1	40103617	40107617	-	HEYL
chr1	40135710	40139710	-	NT5C1A
chr1	40155361	40159361	-	HPCAL4
chr1	40155854	40159854	+	PPIE
chr1	40252533	40256533	-	BMP8B
chr1	40235020	40239020	-	OXCT2
chr1	40347183	40351183	-	TRIT1
chr1	40365928	40369928	-	MYCL
chr1	40418802	40422802	+	MFSD2A
chr1	40503905	40507905	+	CAP1
chr1	40561375	40565375	-	PPT1
chr1	40625045	40629045	+	RLF
chr1	40709619	40713619	+	TMCO2
chr1	40721779	40725779	+	ZMPSTE24
chr1	40781488	40785488	-	COL9A2
chr1	40808522	40812522	+	SMAP2
chr1	40913774	40917774	+	ZFP69B
chr1	40940887	40944887	+	ZFP69
chr1	40972413	40976413	+	EXO5
chr1	40995233	40999233	+	ZNF684
chr1	41129329	41133329	-	RIMS3
chr1	41155320	41159320	+	NFYC
chr1	41247684	41251684	+	KCNQ4
chr1	41326018	41330018	-	CITED4
chr1	41443007	41447007	+	CTPS1
chr1	41486909	41490909	-	SLFNL1
chr1	41705826	41709826	-	SCMH1
chr1	41825594	41829594	+	FOXO6
chr1	41948344	41952344	-	EDN2
chr1	42499596	42503596	-	HIVEP3
chr1	42617092	42621092	+	GUCA2B
chr1	42628389	42632389	-	GUCA2A
chr1	42799548	42803548	-	FOXJ3
chr1	42844466	42848466	+	RIMKLA
chr1	42919938	42923938	-	ZMYND12
chr1	42919788	42923788	+	PPCS
chr1	42927001	42931001	+	CCDC30
chr1	43122096	43126096	+	PPIH
chr1	43146098	43150098	+	YBX1
chr1	43203925	43207925	-	CLDN19
chr1	43230755	43234755	-	LEPRE1
chr1	43230940	43234940	+	C1orf50
chr1	43280954	43284954	-	CCDC23
chr1	43280795	43284795	+	ERMAP
chr1	43310280	43314280	+	ZNF691
chr1	43422530	43426530	-	SLC2A1
chr1	43608824	43612824	+	FAM183A
chr1	43734607	43738607	-	EBNA1BP2
chr1	43635820	43639820	+	WDR65
chr1	43733665	43737665	+	TMEM125
chr1	43749288	43753288	-	C1orf210
chr1	43764664	43768664	+	TIE1
chr1	43801478	43805478	+	MPL
chr1	43822626	43826626	+	CDC20
chr1	43831696	43835696	-	ELOVL1
chr1	43853479	43857479	-	MED8
chr1	43853553	43857553	+	SZT2
chr1	43917660	43921660	-	HYI
chr1	43988858	43992858	+	PTPRF
chr1	44113829	44117829	+	KDM4A
chr1	44169495	44173495	+	ST3GAL3
chr1	44396992	44400992	+	ARTN
chr1	44410611	44414611	+	IPO13
chr1	44433672	44437672	+	DPH2
chr1	44438159	44442159	+	ATP6V0B
chr1	44442615	44446615	+	B4GALT2
chr1	44455031	44459031	+	CCDC24
chr1	44495139	44499139	-	SLC6A9
chr1	44582522	44586522	+	KLF17
chr1	44677127	44681127	+	DMAP1
chr1	44818932	44822932	-	ERI3
chr1	44868866	44872866	+	RNF220
chr1	45138227	45142227	-	TMEM53
chr1	45138364	45142364	+	C1orf228
chr1	45203490	45207490	+	KIF2C
chr1	45238923	45242923	+	RPS8
chr1	45251377	45255377	-	BEST4
chr1	45263897	45267897	+	PLK3
chr1	45270957	45274957	-	TCTEX1D4
chr1	45272154	45276154	+	BTBD19
chr1	45306735	45310735	-	PTCH2
chr1	45450282	45454282	-	EIF2B3
chr1	45475001	45479001	-	HECTD3
chr1	45475819	45479819	+	UROD
chr1	45769881	45773881	-	ZSWIM5
chr1	45790545	45794545	+	HPDL
chr1	45804142	45808142	-	MUTYH
chr1	45803342	45807342	+	TOE1
chr1	45954872	45958872	-	TESK2
chr1	45963751	45967751	-	CCDC163P
chr1	45963725	45967725	+	MMACHC
chr1	45986719	45990719	-	PRDX1
chr1	46014215	46018215	+	AKR1A1
chr1	46047518	46051518	+	NASP
chr1	46087729	46091729	-	CCDC17
chr1	46151785	46155785	-	GPBP1L1
chr1	46150886	46154886	+	TMEM69
chr1	46214322	46218322	-	IPP
chr1	46250659	46254659	+	MAST2
chr1	46640160	46644160	-	PIK3R3
chr1	46638745	46642745	+	TSPAN1
chr1	46683977	46687977	-	POMGNT1
chr1	46667006	46671006	+	LURAP1
chr1	46711360	46715360	+	RAD54L
chr1	46767280	46771280	-	LRRC41
chr1	46767303	46771303	+	UQCRH
chr1	46803849	46807849	+	NSUN4
chr1	46857937	46861937	+	FAAH
chr1	46970668	46974668	+	DMBX1
chr1	47015199	47019199	-	KNCN
chr1	47080515	47084515	-	MKNK1
chr1	47080563	47084563	-	MOB3C
chr1	47137539	47141539	-	ATPAF1
chr1	47182824	47186824	-	EFCAB14
chr1	47132527	47136527	+	TEX38
chr1	47221510	47225510	+	CYP4B1
chr1	47405156	47409156	-	CYP4A11
chr1	47425036	47429036	+	CYP4X1
chr1	47531160	47535160	+	CYP4Z1
chr1	47601107	47605107	+	CYP4A22
chr1	47654716	47658716	-	PDZK1IP1
chr1	47695892	47699892	-	TAL1
chr1	47777819	47781819	-	STIL
chr1	47797469	47801469	+	CMPK1
chr1	47879744	47883744	+	FOXE3
chr1	47899689	47903689	+	FOXD2
chr1	48460567	48464567	-	TRABD2B
chr1	48225290	48229290	-	FLJ00388
chr1	48567306	48571306	+	AL109659.1
chr1	48686357	48690357	+	SLC5A9
chr1	48935845	48939845	-	SPATA6
chr1	50487585	50491585	-	AGBL4
chr1	49240641	49244641	-	BEND5
chr1	50457990	50461990	+	AL645730.2
chr1	50511686	50515686	+	ELAVL4
chr1	50887172	50891172	-	DMRTA2
chr1	51423935	51427935	-	FAF1
chr1	51424417	51428417	+	CDKN2C
chr1	51565906	51569906	+	C1orf185
chr1	51699943	51703943	+	RNF11
chr1	51808788	51812788	-	TTC39A
chr1	51983000	51987000	-	EPS15
chr1	52040851	52044851	+	OSBPL9
chr1	52342477	52346477	-	NRD1
