chr	start_promoter	end_promoter	strand	gene_name	gene_id
chr1	12847377	12848720	-	HNRNPCL1	ENSG00000179172.10
chr1	12857086	12861909	+	PRAMEF2	ENSG00000120952.4
chr1	12879212	12886201	-	PRAMEF4	ENSG00000243073.4
chr1	12892896	12898270	-	PRAMEF10	ENSG00000187545.5
chr1	12916610	12920482	+	PRAMEF7	ENSG00000204510.5
chr1	12938472	12947580	-	PRAMEF6	ENSG00000232423.6
chr1	13049476	13056491	-	PRAMEF27	ENSG00000274764.5
chr1	13060869	13062229	+	HNRNPCL3	ENSG00000277058.2
chr1	13068677	13077884	+	PRAMEF25	ENSG00000229571.7
chr1	13115488	13116854	-	HNRNPCL2	ENSG00000275774.3
chr1	13148905	13155961	-	PRAMEF26	ENSG00000280267.4
chr1	13163914	13165631	-	HNRNPCL4	ENSG00000179412.11
chr1	13172455	13179464	+	PRAMEF9	ENSG00000204505.4
chr1	13196188	13201409	-	PRAMEF13	ENSG00000279169.3
chr1	13222705	13226106	-	PRAMEF18	ENSG00000279804.2
chr1	13254212	13263314	+	PRAMEF5	ENSG00000270601.4
chr1	13281035	13285174	-	PRAMEF8	ENSG00000182330.10
chr1	13303539	13308907	+	PRAMEF33	ENSG00000237700.2
chr1	13315581	13322598	+	PRAMEF15	ENSG00000204501.7
chr1	13341892	13347134	-	PRAMEF14	ENSG00000204481.8
chr1	13369067	13371900	-	PRAMEF19	ENSG00000204480.8
chr1	13389632	13392629	+	PRAMEF17	ENSG00000204479.4
chr1	13410450	13421328	+	PRAMEF20	ENSG00000204478.9
chr1	13474973	13514003	-	LRRC38	ENSG00000162494.6
chr1	13583465	13617957	+	PDPN	ENSG00000162493.16
chr1	13700198	13825079	+	PRDM2	ENSG00000116731.22
chr1	13892792	15118043	+	KAZN	ENSG00000189337.17
chr1	15152532	15220478	+	TMEM51	ENSG00000171729.14
chr1	15247272	15400283	+	FHAD1	ENSG00000142621.19
chr1	15409888	15430339	+	EFHD2	ENSG00000142634.13
chr1	15438442	15449242	+	CTRC	ENSG00000162438.12
chr1	15456728	15472091	+	CELA2A	ENSG00000142615.8
chr1	15465909	15491395	+	CELA2B	ENSG00000215704.10
chr1	15490832	15526534	-	CASP9	ENSG00000132906.18
chr1	15526813	15592379	+	DNAJC16	ENSG00000116138.13
chr1	15571699	15585051	-	AGMAT	ENSG00000116771.6
chr1	15617458	15669044	+	DDI2	ENSG00000197312.12
chr1	15659869	15661722	+	RSC1A1	ENSG00000215695.1
chr1	15684320	15734769	+	PLEKHM2	ENSG00000116786.13
chr1	15736258	15741392	+	SLC25A34	ENSG00000162461.8
chr1	15742499	15747982	+	TMEM82	ENSG00000162460.7
chr1	15756607	15786594	+	FBLIM1	ENSG00000162458.13
chr1	15807169	15809348	-	UQCRHL	ENSG00000233954.6
chr1	15836095	15940456	+	SPEN	ENSG00000065526.12
chr1	15941869	15976132	-	ZBTB17	ENSG00000116809.11
chr1	16004236	16008807	+	SRARP	ENSG00000183888.4
chr1	16014028	16019594	-	HSPB7	ENSG00000173641.17
chr1	16018875	16034050	+	CLCNKA	ENSG00000186510.12
chr1	16043736	16057308	+	CLCNKB	ENSG00000184908.18
chr1	16057769	16073651	-	FAM131C	ENSG00000185519.9
chr1	16124337	16156069	-	EPHA2	ENSG00000142627.13
chr1	16197854	16212652	-	ARHGEF19	ENSG00000142632.17
chr1	16231692	16237183	-	CPLANE2	ENSG00000132881.12
chr1	16246840	16352480	-	FBXO42	ENSG00000037637.11
chr1	16352575	16398145	+	SZRD1	ENSG00000055070.17
chr1	16387117	16437424	-	SPATA21	ENSG00000187144.11
chr1	16440721	16460078	+	NECAP2	ENSG00000157191.20
chr1	16562319	16613562	-	NBPF1	ENSG00000219481.10
chr1	16740273	16972964	+	CROCC	ENSG00000058453.17
chr1	16974502	16980632	-	MFAP2	ENSG00000117122.14
chr1	16985958	17011928	-	ATP13A2	ENSG00000159363.18
chr1	17018722	17054032	-	SDHB	ENSG00000117118.10
chr1	17066761	17119451	-	PADI2	ENSG00000117115.13
chr1	17205128	17246007	+	PADI1	ENSG00000142623.11
chr1	17249098	17284233	+	PADI3	ENSG00000142619.4
chr1	17308195	17364004	+	PADI4	ENSG00000159339.13
chr1	17372196	17401699	+	PADI6	ENSG00000276747.1
chr1	17406760	17439677	-	RCC2	ENSG00000179051.14
chr1	17539698	17697874	+	ARHGEF10L	ENSG00000074964.17
chr1	17755333	17827063	+	ACTL8	ENSG00000117148.8
chr1	18107798	18378483	+	IGSF21	ENSG00000117154.12
chr1	18480982	18486126	+	KLHDC7A	ENSG00000179023.8
chr1	18630846	18748866	+	PAX7	ENSG00000009709.12
chr1	18839599	18859682	-	TAS1R2	ENSG00000179002.5
chr1	18871430	18902724	-	ALDH4A1	ENSG00000159423.17
chr1	18904280	18956676	-	IFFO2	ENSG00000169991.11
chr1	19074510	19210266	-	UBR4	ENSG00000127481.15
chr1	19215660	19251527	-	EMC1	ENSG00000127463.15
chr1	19251805	19260128	+	MRTO4	ENSG00000053372.5
chr1	19282573	19288770	-	AKR7A3	ENSG00000162482.5
chr1	19303965	19312146	-	AKR7A2	ENSG00000053371.12
chr1	19312326	19329300	+	SLC66A1	ENSG00000040487.13
chr1	19338775	19485539	-	CAPZB	ENSG00000077549.19
chr1	19484403	19629821	+	MICOS10	ENSG00000173436.15
chr1	19596979	19658456	+	NBL1	ENSG00000158747.15
chr1	19597067	19656927	+	MICOS10-NBL1	ENSG00000270136.6
chr1	19664875	19680966	+	HTR6	ENSG00000158748.4
chr1	19682213	19799945	-	TMCO4	ENSG00000162542.13
chr1	19814029	19815283	-	RNF186	ENSG00000178828.7
chr1	19882395	19912945	+	OTUD3	ENSG00000169914.6
chr1	19920009	19923617	-	PLA2G2E	ENSG00000188784.4
chr1	19975431	19980416	-	PLA2G2A	ENSG00000188257.11
chr1	20028179	20091911	+	PLA2G5	ENSG00000127472.11
chr1	20111939	20119566	-	PLA2G2D	ENSG00000117215.15
chr1	20139323	20150381	+	PLA2G2F	ENSG00000158786.5
chr1	20161253	20177424	-	PLA2G2C	ENSG00000187980.6
chr1	20186096	20196050	+	UBXN10	ENSG00000162543.6
chr1	20290919	20354894	+	VWA5B1	ENSG00000158816.15
chr1	20482391	20486210	-	CAMK2N1	ENSG00000162545.6
chr1	20499448	20508151	-	MUL1	ENSG00000090432.7
chr1	20552573	20555020	+	FAM43B	ENSG00000183114.8
chr1	20589086	20618903	+	CDA	ENSG00000158825.6
chr1	20633458	20651511	+	PINK1	ENSG00000158828.8
chr1	20651767	20661544	-	DDOST	ENSG00000244038.10
chr1	20664014	20718017	-	KIF17	ENSG00000117245.12
chr1	20719731	20732837	-	SH2D5	ENSG00000189410.12
chr1	20740266	20787323	-	HP1BP3	ENSG00000127483.19
chr1	20806292	21176888	-	EIF4G3	ENSG00000075151.20
chr1	21217247	21345572	-	ECE1	ENSG00000117298.16
chr1	21440128	21485005	+	NBPF3	ENSG00000142794.18
chr1	21509397	21578410	+	ALPL	ENSG00000162551.14
chr1	21596215	21669363	-	RAP1GAP	ENSG00000076864.19
chr1	21678298	21783606	-	USP48	ENSG00000090686.16
chr1	21812265	21825225	+	LDLRAD2	ENSG00000187942.12
chr1	21822244	21937310	-	HSPG2	ENSG00000142798.20
chr1	21977022	21998642	+	CELA3B	ENSG00000219073.8
chr1	22001657	22012542	+	CELA3A	ENSG00000142789.20
chr1	22025511	22101360	+	CDC42	ENSG00000070831.17
chr1	22117313	22143969	-	WNT4	ENSG00000162552.15
chr1	22428838	22531157	+	ZBTB40	ENSG00000184677.18
chr1	22563489	22603595	+	EPHA8	ENSG00000070886.12
chr1	22636628	22639678	+	C1QA	ENSG00000173372.17
chr1	22643633	22648110	+	C1QC	ENSG00000159189.12
chr1	22652762	22661637	+	C1QB	ENSG00000173369.16
chr1	22710839	22921500	+	EPHB2	ENSG00000133216.16
chr1	22953043	22965338	-	LACTBL1	ENSG00000215906.8
chr1	23010834	23015852	-	TEX46	ENSG00000227868.6
chr1	23019443	23083689	+	KDM1A	ENSG00000004487.17
chr1	23084023	23177808	-	LUZP1	ENSG00000169641.13
chr1	23191895	23194729	-	HTR1D	ENSG00000179546.4
chr1	23303771	23344336	-	HNRNPR	ENSG00000125944.20
chr1	23359448	23369836	-	ZNF436	ENSG00000125945.15
chr1	23380909	23424748	-	TCEA3	ENSG00000204219.11
chr1	23428563	23484568	-	ASAP3	ENSG00000088280.19
chr1	23506438	23531233	-	E2F2	ENSG00000007968.7
chr1	23557926	23559501	-	ID3	ENSG00000117318.9
chr1	23691742	23696835	+	RPL11	ENSG00000142676.14
chr1	23743155	23762059	+	ELOA	ENSG00000011007.12
chr1	23778418	23788232	+	PITHD1	ENSG00000057757.10
chr1	23791145	23795539	+	LYPLA2	ENSG00000011009.11
chr1	23795599	23800781	-	GALE	ENSG00000117308.15
chr1	23801885	23838620	-	HMGCL	ENSG00000117305.15
chr1	23845077	23868294	-	FUCA1	ENSG00000179163.11
chr1	23870515	23913362	-	CNR2	ENSG00000188822.8
chr1	23956839	23963462	+	PNRC2	ENSG00000189266.13
chr1	23964347	23980927	-	SRSF10	ENSG00000188529.15
chr1	24056035	24112135	-	MYOM3	ENSG00000142661.19
chr1	24119771	24143140	-	IL22RA1	ENSG00000142677.4
chr1	24154168	24187959	-	IFNLR1	ENSG00000185436.12
chr1	24319357	24364482	+	GRHL3	ENSG00000158055.16
chr1	24356999	24416934	-	STPG1	ENSG00000001460.18
chr1	24415802	24472976	+	NIPAL3	ENSG00000001461.17
chr1	24502351	24541040	+	RCAN3	ENSG00000117602.12
chr1	24556087	24609328	+	NCMAP	ENSG00000184454.7
chr1	24631716	24673281	+	SRRM1	ENSG00000133226.17
chr1	24745382	24844321	+	CLIC4	ENSG00000169504.15
chr1	24899511	24965121	-	RUNX3	ENSG00000020633.18
chr1	25222276	25232502	-	SYF2	ENSG00000117614.10
chr1	25242249	25338213	-	RSRP1	ENSG00000117616.18
chr1	25272393	25330445	+	RHD	ENSG00000187010.21
chr1	25338317	25362361	+	TMEM50A	ENSG00000183726.11
chr1	25362249	25430192	-	RHCE	ENSG00000188672.19
chr1	25430858	25500209	+	MACO1	ENSG00000204178.11
chr1	25543606	25568886	+	LDLRAP1	ENSG00000157978.12
chr1	25617468	25786207	+	MAN1C1	ENSG00000117643.14
chr1	25800176	25818221	+	SELENON	ENSG00000162430.17
chr1	25811470	25823744	+	AL020996.2	ENSG00000255054.3
chr1	25818640	25832942	+	MTFR1L	ENSG00000117640.18
chr1	25831913	25859458	-	AUNIP	ENSG00000127423.11
chr1	25861210	25871253	-	PAQR7	ENSG00000182749.5
chr1	25884181	25906991	-	STMN1	ENSG00000117632.23
chr1	25959767	25998117	-	PAFAH2	ENSG00000158006.14
chr1	26019884	26036464	+	EXTL1	ENSG00000158008.10
chr1	26037252	26046118	-	SLC30A2	ENSG00000158014.15
chr1	26051304	26068436	-	TRIM63	ENSG00000158022.6
chr1	26111165	26125555	+	PDIK1L	ENSG00000175087.10
chr1	26159079	26163962	+	FAM110D	ENSG00000197245.6
chr1	26164161	26168581	-	C1orf232	ENSG00000282872.1
chr1	26169516	26171831	-	AL391650.1	ENSG00000236782.7
chr1	26169908	26170873	+	ZNF593	ENSG00000142684.9
chr1	26177484	26189884	+	CNKSR1	ENSG00000142675.18
chr1	26190561	26202968	+	CATSPER4	ENSG00000188782.9
chr1	26234200	26278808	+	CEP85	ENSG00000130695.15
chr1	26280086	26281522	+	SH3BGRL3	ENSG00000142669.15
chr1	26281328	26318363	-	UBXN11	ENSG00000158062.20
chr1	26317958	26320523	+	CD52	ENSG00000169442.9
chr1	26321698	26360080	-	CRYBG2	ENSG00000176092.15
chr1	26361634	26374522	-	ZNF683	ENSG00000176083.17
chr1	26410817	26429728	+	LIN28A	ENSG00000131914.11
chr1	26432282	26471306	+	DHDDS	ENSG00000117682.17
chr1	26472440	26476642	+	HMGN2	ENSG00000198830.11
chr1	26529761	26575030	+	RPS6KA1	ENSG00000117676.14
chr1	26693236	26782104	+	ARID1A	ENSG00000117713.20
chr1	26787054	26800659	+	PIGV	ENSG00000060642.11
chr1	26826688	26857604	+	ZDHHC18	ENSG00000204160.12
chr1	26863149	26864456	+	SFN	ENSG00000175793.12
chr1	26876132	26890283	-	GPN2	ENSG00000142751.15
chr1	26890488	26900467	-	GPATCH3	ENSG00000198746.13
chr1	26900238	26946871	+	NUDC	ENSG00000090273.14
chr1	26911489	26913975	-	NR0B2	ENSG00000131910.5
chr1	26949562	26960468	-	KDF1	ENSG00000175707.9
chr1	26993692	27000886	+	TRNP1	ENSG00000253368.4
chr1	27005020	27012850	-	TENT5B	ENSG00000158246.8
chr1	27098809	27166981	-	SLC9A1	ENSG00000090020.11
chr1	27234632	27308636	+	WDTC1	ENSG00000142784.16
chr1	27322145	27336400	+	TMEM222	ENSG00000186501.14
chr1	27342020	27353937	+	SYTL1	ENSG00000142765.18
chr1	27354067	27366961	-	MAP3K6	ENSG00000142733.17
chr1	27369112	27374824	-	FCN3	ENSG00000142748.12
chr1	27379176	27383333	-	CD164L2	ENSG00000174950.11
chr1	27392622	27395814	+	GPR3	ENSG00000181773.7
chr1	27404230	27490167	-	WASF2	ENSG00000158195.11
chr1	27534035	27604431	-	AHDC1	ENSG00000126705.15
chr1	27612064	27635185	-	FGR	ENSG00000000938.13
chr1	27666064	27672198	-	IFI6	ENSG00000126709.15
chr1	27725979	27763122	+	FAM76A	ENSG00000009780.15
chr1	27773219	27824443	+	STX12	ENSG00000117758.14
chr1	27830782	27851676	+	PPP1R8	ENSG00000117751.18
chr1	27872543	27886685	+	THEMIS2	ENSG00000130775.16
chr1	27891524	27914746	-	RPA2	ENSG00000117748.10
chr1	27935000	27959157	+	SMPDL3B	ENSG00000130768.15
chr1	27959973	27968093	+	XKR8	ENSG00000158156.8
chr1	27970344	28088637	-	EYA3	ENSG00000158161.16
chr1	28147166	28193936	-	PTAFR	ENSG00000169403.12
chr1	28199456	28233029	-	DNAJC8	ENSG00000126698.11
chr1	28236109	28246906	+	ATP5IF1	ENSG00000130770.18
chr1	28259518	28282491	+	SESN2	ENSG00000130766.5
chr1	28329002	28335965	+	MED18	ENSG00000130772.14
chr1	28369582	28500364	+	PHACTR4	ENSG00000204138.13
chr1	28505943	28539300	+	RCC1	ENSG00000180198.16
chr1	28553085	28578545	+	TRNAU1AP	ENSG00000180098.9
chr1	28589323	28643085	-	TAF12	ENSG00000120656.11
chr1	28592200	28595443	+	RAB42	ENSG00000188060.7
chr1	28668732	28719353	+	GMEB1	ENSG00000162419.12
chr1	28736621	28769775	+	YTHDF2	ENSG00000198492.16
chr1	28812142	28871267	+	OPRD1	ENSG00000116329.11
chr1	28887091	29120046	+	EPB41	ENSG00000159023.21
chr1	29119429	29123903	-	TMEM200B	ENSG00000253304.2
chr1	29147743	29181900	-	SRSF4	ENSG00000116350.17
chr1	29192657	29230942	-	MECR	ENSG00000116353.16
chr1	29236516	29326813	+	PTPRU	ENSG00000060656.20
chr1	30711277	30723585	-	MATN1	ENSG00000162510.6
chr1	30732469	30757774	-	LAPTM5	ENSG00000162511.8
chr1	30869466	30908758	-	SDC3	ENSG00000162512.16
chr1	30931506	31065991	-	PUM1	ENSG00000134644.15
chr1	31179745	31239887	-	NKAIN1	ENSG00000084628.10
chr1	31259568	31296788	-	SNRNP40	ENSG00000060688.13
chr1	31296982	31364953	+	ZCCHC17	ENSG00000121766.15
chr1	31365253	31376850	-	FABP3	ENSG00000121769.8
chr1	31409565	31434680	+	SERINC2	ENSG00000168528.12
chr1	31576485	31587686	+	TINAGL1	ENSG00000142910.16
chr1	31617686	31632518	+	HCRTR1	ENSG00000121764.11
chr1	31629866	31644896	-	PEF1	ENSG00000162517.13
chr1	31652263	31704319	-	COL16A1	ENSG00000084636.18
chr1	31727117	31764893	-	ADGRB2	ENSG00000121753.12
chr1	31790422	31816051	-	SPOCD1	ENSG00000134668.12
chr1	31906421	31944856	-	PTP4A2	ENSG00000184007.21
chr1	32013868	32060850	+	KHDRBS1	ENSG00000121774.18
chr1	32072031	32102866	+	TMEM39B	ENSG00000121775.18
chr1	32108056	32176563	+	KPNA6	ENSG00000025800.14
chr1	32179675	32198285	+	TXLNA	ENSG00000084652.16
chr1	32200386	32205387	+	CCDC28B	ENSG00000160050.14
chr1	32205661	32208687	+	IQCC	ENSG00000160051.11
chr1	32209094	32216196	+	DCDC2B	ENSG00000222046.2
chr1	32214472	32222359	-	TMEM234	ENSG00000160055.19
chr1	32221928	32231604	+	EIF3I	ENSG00000084623.11
chr1	32247222	32248856	+	FAM167B	ENSG00000183615.6
chr1	32251239	32286165	+	LCK	ENSG00000182866.17
chr1	32292083	32333635	+	HDAC1	ENSG00000116478.12
chr1	32333839	32336233	-	MARCKSL1	ENSG00000175130.7
chr1	32351521	32364312	+	TSSK3	ENSG00000162526.7
chr1	32361270	32364278	-	FAM229A	ENSG00000225828.1
chr1	32365103	32394731	-	BSDC1	ENSG00000160058.18
chr1	32465057	32600792	+	AL033529.1	ENSG00000254553.1
chr1	32465072	32496686	+	ZBTB8B	ENSG00000273274.2
chr1	32539427	32605941	+	ZBTB8A	ENSG00000160062.15
chr1	32600172	32650903	-	ZBTB8OS	ENSG00000176261.15
chr1	32651142	32686211	+	RBBP4	ENSG00000162521.19
chr1	32679906	32703596	-	SYNC	ENSG00000162520.15
